sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample9-195rpm-60kx-4,6.728790e-03,6.538394e-01,1.477213e+00,-1.015197e-04,1.744301e-03,2.770008e-03,1.735887e-02,2.721919e-04,9.963042e-01,39,9.957356e-01,2.641833e-03
sample9-195rpm-60kx-5,6.533778e-03,6.594095e-01,1.439883e+00,-1.030444e-04,1.779987e-03,2.683371e-03,1.772864e-02,3.376416e-04,9.955342e-01,39,9.948472e-01,2.942359e-03
sample9-195rpm-60kx-6,6.505616e-03,6.466869e-01,1.517255e+00,-1.030840e-04,1.772201e-03,2.789440e-03,1.775732e-02,3.384894e-04,9.955265e-01,39,9.948383e-01,2.946051e-03
sample9-195rpm-60kx-7,6.494567e-03,6.507490e-01,1.482332e+00,-1.045529e-04,1.802164e-03,2.785059e-03,1.795098e-02,3.564120e-04,9.954338e-01,39,9.947313e-01,3.023040e-03
sample9-195rpm-60kx-8,6.737545e-03,6.567911e-01,1.467637e+00,-1.002846e-04,1.723588e-03,2.688079e-03,1.715879e-02,2.593273e-04,9.963591e-01,39,9.957990e-01,2.578646e-03
sample9-20rpm-60kx-10,7.033310e-03,6.650635e-01,1.437715e+00,-9.657551e-05,1.655197e-03,2.540636e-03,1.626818e-02,2.278612e-04,9.964795e-01,39,9.959379e-01,2.417146e-03
sample9-20rpm-60kx-2,-1.360054e-02,4.481729e-02,3.135107e+00,-8.607357e-05,1.539909e-03,1.860441e-03,1.916880e-02,1.462449e-03,9.786569e-01,39,9.753733e-01,6.123618e-03
sample9-20rpm-60kx-5,6.809083e-03,6.451751e-01,1.545467e+00,-9.917901e-05,1.694369e-03,2.862386e-03,1.708438e-02,2.332075e-04,9.967114e-01,39,9.962055e-01,2.445338e-03
sample9-20rpm-60kx-6,7.025983e-03,6.744116e-01,1.371795e+00,-9.778186e-05,1.683090e-03,2.363228e-03,1.622237e-02,2.603890e-04,9.959765e-01,39,9.953575e-01,2.583919e-03
sample9-20rpm-60kx-7,6.872218e-03,6.659386e-01,1.424777e+00,-9.798271e-05,1.684586e-03,2.515443e-03,1.661247e-02,2.422100e-04,9.963617e-01,39,9.958020e-01,2.492090e-03
sample9-20rpm-60kx-9,6.922824e-03,6.807018e-01,1.315182e+00,-1.011448e-04,1.750414e-03,2.240397e-03,1.659444e-02,3.007432e-04,9.955798e-01,39,9.948998e-01,2.776934e-03
sample9-20rpm-60kx,-1.986511e-03,1.955443e-01,2.636626e+00,-8.177958e-05,1.466347e-03,2.502012e-03,2.018880e-02,1.443914e-03,9.790533e-01,39,9.758307e-01,6.084688e-03
