sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample8-195rpm-60kx-6,4.855038e-08,-1.585152e-06,9.016273e-06,-3.221006e-06,1.082978e-03,1.786164e-03,2.167650e-02,4.920820e-04,9.934558e-01,39,9.924489e-01,3.552110e-03
sample8-195rpm-60kx-7,2.600756e-08,-1.071021e-06,7.841011e-06,-4.458957e-05,1.358892e-03,1.936442e-03,2.145823e-02,7.309364e-04,9.911399e-01,39,9.897768e-01,4.329199e-03
sample8-195rpm-60kx-8,2.059656e-08,-9.376341e-07,7.332483e-06,-5.237499e-05,1.408813e-03,1.918141e-03,2.127948e-02,7.861233e-04,9.904380e-01,39,9.889669e-01,4.489656e-03
sample8-195rpm-60kx-9,-8.898369e-09,-3.522037e-07,8.575038e-06,-1.331453e-04,1.824046e-03,2.085315e-03,2.052198e-02,1.432993e-03,9.848092e-01,39,9.824721e-01,6.061635e-03
sample8-20rpm-60kx-10,9.428309e-08,-2.938856e-06,2.077500e-05,-7.546591e-06,7.497462e-04,1.802346e-03,2.118658e-02,5.437325e-04,9.922532e-01,39,9.910614e-01,3.733880e-03
sample8-20rpm-60kx-1,9.429437e-08,-2.749477e-06,1.493137e-05,4.724357e-05,6.315213e-04,1.689274e-03,2.201787e-02,2.578145e-04,9.961764e-01,39,9.955882e-01,2.571114e-03
sample8-20rpm-60kx-2a,9.720069e-08,-2.828121e-06,1.550755e-05,4.927262e-05,5.859282e-04,1.653800e-03,2.181974e-02,2.783600e-04,9.957061e-01,39,9.950454e-01,2.671598e-03
sample8-20rpm-60kx-2b,1.273400e-07,-3.570773e-06,1.864027e-05,8.859963e-05,2.946780e-04,1.573209e-03,2.230010e-02,1.432042e-04,9.976819e-01,39,9.973253e-01,1.916221e-03
sample8-20rpm-60kx-3,6.083888e-08,-2.027546e-06,1.476744e-05,-2.777809e-05,1.007502e-03,1.730838e-03,2.074649e-02,6.821531e-04,9.901904e-01,39,9.886812e-01,4.182237e-03
sample8-20rpm-60kx-4,9.647832e-08,-2.797559e-06,1.513997e-05,5.119340e-05,5.712361e-04,1.581172e-03,2.164229e-02,2.735074e-04,9.956202e-01,39,9.949464e-01,2.648209e-03
sample8-20rpm-60kx-5,8.088567e-08,-2.479472e-06,1.553766e-05,1.146004e-05,7.745715e-04,1.672656e-03,2.119600e-02,4.552537e-04,9.930553e-01,39,9.919868e-01,3.416602e-03
sample8-20rpm-60kx-6,5.581288e-08,-1.976020e-06,1.645568e-05,-5.552174e-05,1.112203e-03,1.793202e-03,2.044040e-02,8.700159e-04,9.881763e-01,39,9.863573e-01,4.723145e-03
sample8-20rpm-60kx-7,8.577522e-08,-2.660263e-06,1.786434e-05,5.557822e-07,7.737588e-04,1.715844e-03,2.112724e-02,5.103041e-04,9.923879e-01,39,9.912168e-01,3.617281e-03
sample8-20rpm-60kx-8,7.489323e-08,-2.267352e-06,1.303909e-05,2.110035e-05,7.820824e-04,1.569931e-03,2.117422e-02,4.046357e-04,9.936152e-01,39,9.926329e-01,3.221067e-03
