sample_name,a1,a2,a3,a4,a5,a6,a7,a8,SSE,R_square,DFE,adj_R_square,RMSE
sample8-195rpm-60kx-1,1.330515e-08,-2.460085e-07,-1.395067e-06,3.639113e-05,-8.755109e-05,4.584078e-04,3.104813e-03,2.309660e-02,2.433530e-04,9.966592e-01,38,9.960438e-01,2.530618e-03
sample8-195rpm-60kx-2,1.963988e-08,-4.386495e-07,6.091811e-08,4.182186e-05,-1.772287e-04,6.311432e-04,3.734108e-03,2.314779e-02,3.258873e-04,9.957533e-01,38,9.949710e-01,2.928478e-03
sample8-195rpm-60kx-3,1.768091e-08,-3.719345e-07,-6.339016e-07,4.299755e-05,-1.598764e-04,5.492478e-04,3.569703e-03,2.292736e-02,3.531804e-04,9.953093e-01,38,9.944452e-01,3.048643e-03
sample8-195rpm-60kx-4,3.077230e-08,-7.562074e-07,1.890255e-06,6.001877e-05,-3.684627e-04,8.802390e-04,4.952307e-03,2.281324e-02,7.301438e-04,9.918349e-01,38,9.903309e-01,4.383413e-03
sample8-195rpm-60kx-5,1.581710e-08,-3.275903e-07,-6.351137e-07,3.647152e-05,-1.152778e-04,5.204605e-04,3.245795e-03,2.293763e-02,2.550192e-04,9.964024e-01,38,9.957396e-01,2.590566e-03
sample8-195rpm-60kx-6,1.667114e-08,-3.545103e-07,-4.095825e-07,3.679710e-05,-1.262707e-04,5.734848e-04,3.406783e-03,2.328214e-02,2.440039e-04,9.967550e-01,38,9.961572e-01,2.534000e-03
sample8-195rpm-60kx-7,2.126880e-08,-4.882112e-07,4.287539e-07,4.328337e-05,-2.015745e-04,7.088888e-04,4.004004e-03,2.350669e-02,3.271577e-04,9.960343e-01,38,9.953038e-01,2.934180e-03
sample8-195rpm-60kx-8,2.219750e-08,-5.160755e-07,6.276277e-07,4.432243e-05,-2.162146e-04,7.304276e-04,4.075983e-03,2.341739e-02,3.463129e-04,9.957876e-01,38,9.950117e-01,3.018857e-03
sample8-195rpm-60kx-9,2.994690e-08,-7.329288e-07,1.759509e-06,5.847860e-05,-3.541833e-04,9.088278e-04,4.996484e-03,2.340625e-02,6.324937e-04,9.932951e-01,38,9.920600e-01,4.079776e-03
sample8-20rpm-60kx-10,1.293194e-08,-2.183743e-07,-2.026957e-06,4.232481e-05,-1.029972e-04,3.545284e-04,3.059474e-03,2.243209e-02,3.944582e-04,9.943800e-01,38,9.933447e-01,3.221875e-03
sample8-20rpm-60kx-1,9.295062e-09,-1.304337e-07,-2.094033e-06,3.042068e-05,-2.136325e-05,3.474516e-04,2.592857e-03,2.291311e-02,1.806953e-04,9.973202e-01,38,9.968265e-01,2.180628e-03
sample8-20rpm-60kx-2a,9.067081e-09,-1.220154e-07,-2.188753e-06,3.061695e-05,-1.765148e-05,3.088258e-04,2.535221e-03,2.269302e-02,2.049775e-04,9.968380e-01,38,9.962556e-01,2.322530e-03
sample8-20rpm-60kx-2b,3.520556e-09,4.222304e-08,-3.322520e-06,2.450693e-05,6.261442e-05,1.870850e-04,1.915446e-03,2.263917e-02,1.321410e-04,9.978610e-01,38,9.974670e-01,1.864778e-03
sample8-20rpm-60kx-3,1.727564e-08,-3.568368e-07,-8.093504e-07,4.355560e-05,-1.552895e-04,4.795349e-04,3.410221e-03,2.241036e-02,4.157582e-04,9.940213e-01,38,9.929199e-01,3.307719e-03
sample8-20rpm-60kx-4,8.972490e-09,-1.204509e-07,-2.164862e-06,3.009174e-05,-1.503252e-05,2.970246e-04,2.453397e-03,2.250646e-02,2.016481e-04,9.967709e-01,38,9.961761e-01,2.303590e-03
sample8-20rpm-60kx-5,1.297143e-08,-2.327264e-07,-1.564789e-06,3.715327e-05,-8.428204e-05,3.781470e-04,2.933622e-03,2.244532e-02,3.050664e-04,9.953463e-01,38,9.944891e-01,2.833384e-03
sample8-20rpm-60kx-6,1.947649e-08,-4.150729e-07,-6.026303e-07,4.891133e-05,-1.992776e-04,5.169754e-04,3.686532e-03,2.231624e-02,5.314223e-04,9.927779e-01,38,9.914475e-01,3.739625e-03
