w1,w2,w3,w4,w5,w6,fval
1.173503e+00,9.764539e-01,1.105298e+00,9.752383e-01,8.733673e-01,9.039592e-01,6.918005e-10
8.905447e-01,1.003562e+00,9.972093e-01,1.058320e+00,1.005791e+00,1.073208e+00,9.556635e-10
1.163539e+00,9.959072e-01,1.108207e+00,9.736060e-01,8.677187e-01,9.024848e-01,2.837706e-09

1.013954e+00,1.006726e+00,1.012349e+00,1.011821e+00,1.006885e+00,9.921826e-01


8.335362e-01,1.027601e+00,1.039345e+00,1.013777e+00,1.086059e+00,1.000410e+00,5.935887e-12
1.162277e+00,1.001847e+00,9.398408e-01,1.052706e+00,9.591793e-01,9.461049e-01,2.362992e-11
8.352531e-01,1.029782e+00,1.027298e+00,1.013065e+00,1.095536e+00,9.987878e-01,1.799237e-11
1.164220e+00,1.000134e+00,9.367416e-01,1.055012e+00,9.612897e-01,9.465078e-01,2.291879e-12
8.367530e-01,1.032616e+00,1.032233e+00,9.993030e-01,1.087381e+00,1.007630e+00,7.151269e-11
1.165788e+00,9.944048e-01,9.350192e-01,1.060528e+00,9.617090e-01,9.460824e-01,1.394511e-10
8.378578e-01,1.032380e+00,1.027981e+00,1.001910e+00,1.090956e+00,1.009026e+00,1.872536e-11
1.167368e+00,9.963947e-01,9.319862e-01,1.057544e+00,9.618681e-01,9.420595e-01,3.722740e-11
8.389235e-01,1.034741e+00,1.032483e+00,9.953863e-01,1.084339e+00,1.010392e+00,4.049013e-11
1.168527e+00,9.897802e-01,9.331550e-01,1.065107e+00,9.601513e-01,9.435143e-01,8.634303e-11
8.398497e-01,1.035767e+00,1.028824e+00,9.930608e-01,1.087068e+00,1.011897e+00,6.918511e-11
1.169810e+00,9.461377e-01,9.361771e-01,1.059096e+00,9.530527e-01,9.868836e-01,6.722753e-11
8.407219e-01,1.012625e+00,1.028239e+00,9.942086e-01,1.087071e+00,1.035272e+00,1.026031e-11
