sample_name,a1,a2,a3,a4,a5,a6,SSE,R_square,DFE,adj_R_square,RMSE
sample10-20rpm-60kx-3,4.120924e+00,1.346080e-02,2.696289e-01,-1.449910e-02,-1.085795e-03,-3.094192e-04,1.092263e-03,9.995303e-01,40,9.994716e-01,5.225569e-03
sample10-20rpm-60kx-4,4.100519e+00,4.319798e-03,3.232193e-01,-1.243309e-02,-8.672455e-04,-2.670878e-04,1.013973e-03,9.995522e-01,40,9.994962e-01,5.034813e-03
sample10-20rpm-60kx-5,4.090275e+00,2.131257e-03,3.588579e-01,-1.192572e-02,-8.127809e-04,-2.457948e-04,9.385774e-04,9.995799e-01,40,9.995273e-01,4.844010e-03
sample10-20rpm-60kx-7,4.069121e+00,3.713356e-03,3.300241e-01,-1.217577e-02,-8.315823e-04,-2.588787e-04,9.998927e-04,9.995431e-01,40,9.994860e-01,4.999732e-03
sample10-20rpm-60kx-9,4.090948e+00,3.686805e-03,3.309146e-01,-1.226201e-02,-8.428252e-04,-2.613200e-04,9.838012e-04,9.995606e-01,40,9.995056e-01,4.959338e-03
sample11-100rpm-60kx-10,4.064510e+00,1.422695e-02,2.650687e-01,-1.418486e-02,-1.035289e-03,-3.056616e-04,1.606805e-03,9.992673e-01,40,9.991757e-01,6.337991e-03
sample11-100rpm-60kx-11,4.041803e+00,1.590914e-02,2.596534e-01,-1.452293e-02,-1.086704e-03,-3.044241e-04,1.481787e-03,9.993093e-01,40,9.992229e-01,6.086434e-03
sample11-100rpm-60kx-13,4.079424e+00,1.430120e-02,2.651114e-01,-1.426485e-02,-1.037596e-03,-3.075282e-04,1.578090e-03,9.992878e-01,40,9.991988e-01,6.281102e-03
sample11-100rpm-60kx-16,4.034578e+00,8.257905e-03,2.897217e-01,-1.290023e-02,-9.613759e-04,-2.761809e-04,1.394834e-03,9.993386e-01,40,9.992560e-01,5.905155e-03
sample11-100rpm-60kx-17,4.062554e+00,1.804268e-02,2.545882e-01,-1.494763e-02,-1.120693e-03,-3.143833e-04,1.662793e-03,9.992420e-01,40,9.991472e-01,6.447467e-03
sample11-100rpm-60kx-18,4.068069e+00,1.786057e-02,2.554826e-01,-1.483429e-02,-1.057125e-03,-3.201720e-04,1.914249e-03,9.991291e-01,40,9.990203e-01,6.917819e-03
sample11-100rpm-60kx-1,4.068985e+00,1.805564e-02,2.552499e-01,-1.492919e-02,-1.053781e-03,-3.222363e-04,1.790711e-03,9.991902e-01,40,9.990890e-01,6.690873e-03
sample11-100rpm-60kx-21,4.081388e+00,1.276659e-02,2.697514e-01,-1.393446e-02,-1.055813e-03,-2.979144e-04,1.558545e-03,9.992920e-01,40,9.992035e-01,6.242085e-03
sample11-100rpm-60kx-25,4.128046e+00,2.459806e-02,2.458159e-01,-1.619471e-02,-1.016437e-03,-3.686333e-04,3.076675e-03,9.986995e-01,40,9.985370e-01,8.770226e-03
sample11-100rpm-60kx-27,4.054755e+00,1.579450e-02,2.604318e-01,-1.462029e-02,-1.107025e-03,-3.048052e-04,1.305909e-03,9.993991e-01,40,9.993240e-01,5.713819e-03
sample11-100rpm-60kx-2,4.051788e+00,1.260930e-02,2.704136e-01,-1.391176e-02,-1.061656e-03,-2.941881e-04,1.378261e-03,9.993617e-01,40,9.992819e-01,5.869969e-03
sample11-100rpm-60kx-31,4.109583e+00,1.741169e-02,2.573353e-01,-1.508092e-02,-1.106262e-03,-3.219458e-04,1.457803e-03,9.993682e-01,40,9.992892e-01,6.036976e-03
sample11-100rpm-60kx-33,4.075953e+00,3.211456e-03,3.370292e-01,-1.200123e-02,-8.390576e-04,-2.535018e-04,1.110750e-03,9.994923e-01,40,9.994288e-01,5.269607e-03
sample11-100rpm-60kx-3,4.055768e+00,1.007721e-02,2.810662e-01,-1.340631e-02,-1.007548e-03,-2.866651e-04,1.325928e-03,9.993868e-01,40,9.993101e-01,5.757448e-03
sample11-100rpm-60kx-4,4.087399e+00,1.392674e-02,2.666311e-01,-1.425346e-02,-1.035365e-03,-3.084768e-04,1.488153e-03,9.993374e-01,40,9.992545e-01,6.099494e-03
sample11-100rpm-60kx-5,4.051756e+00,1.686499e-02,2.575149e-01,-1.463053e-02,-1.048166e-03,-3.140150e-04,1.752524e-03,9.991923e-01,40,9.990913e-01,6.619146e-03
sample11-100rpm-60kx-6,4.110484e+00,1.813548e-02,2.555114e-01,-1.520694e-02,-1.131952e-03,-3.222188e-04,1.488094e-03,9.993524e-01,40,9.992714e-01,6.099372e-03
sample11-100rpm-60kx-8,4.048211e+00,1.927701e-02,2.517422e-01,-1.497395e-02,-1.085836e-03,-3.207061e-04,2.228159e-03,9.989701e-01,40,9.988414e-01,7.463510e-03
sample11-195rpm-60kx-11,4.059019e+00,2.249978e-02,2.455702e-01,-1.574944e-02,-1.127112e-03,-3.308431e-04,1.925372e-03,9.991231e-01,40,9.990135e-01,6.937889e-03
sample11-195rpm-60kx-12,4.336202e+00,1.817754e-02,2.648074e-01,-1.588903e-02,-9.266495e-04,-3.978486e-04,2.767837e-03,9.990550e-01,40,9.989369e-01,8.318409e-03
sample11-195rpm-60kx-13,4.306982e+00,1.975820e-02,2.602799e-01,-1.611716e-02,-9.289740e-04,-3.963677e-04,2.661767e-03,9.990606e-01,40,9.989431e-01,8.157462e-03
sample11-195rpm-60kx-14,4.094977e+00,1.575562e-02,2.617822e-01,-1.466172e-02,-1.063325e-03,-3.168194e-04,1.496305e-03,9.993405e-01,40,9.992580e-01,6.116178e-03
sample11-195rpm-60kx-19,4.066625e+00,1.562587e-02,2.611190e-01,-1.462468e-02,-1.111383e-03,-3.058027e-04,1.309972e-03,9.994041e-01,40,9.993296e-01,5.722699e-03
sample11-195rpm-60kx-1,4.106586e+00,1.481563e-02,2.644536e-01,-1.453603e-02,-1.051938e-03,-3.149968e-04,1.439815e-03,9.993728e-01,40,9.992944e-01,5.999614e-03
sample11-195rpm-60kx-22,4.071538e+00,1.519745e-02,2.625393e-01,-1.440624e-02,-1.033928e-03,-3.117702e-04,1.629027e-03,9.992636e-01,40,9.991716e-01,6.381667e-03
sample11-195rpm-60kx-24,4.342297e+00,1.210719e-02,2.821880e-01,-1.475676e-02,-8.638657e-04,-3.683456e-04,1.934996e-03,9.993303e-01,40,9.992466e-01,6.955206e-03
sample11-195rpm-60kx-25,4.051853e+00,1.247203e-02,2.709464e-01,-1.388215e-02,-1.058566e-03,-2.936627e-04,1.372720e-03,9.993632e-01,40,9.992836e-01,5.858157e-03
sample11-195rpm-60kx-26,4.058868e+00,1.522691e-02,2.620885e-01,-1.433468e-02,-1.032037e-03,-3.095725e-04,1.699447e-03,9.992208e-01,40,9.991234e-01,6.518143e-03
sample11-195rpm-60kx-31,4.097658e+00,1.154394e-02,2.771566e-01,-1.359700e-02,-8.596719e-04,-3.172572e-04,1.998870e-03,9.991181e-01,40,9.990079e-01,7.069071e-03
sample11-195rpm-60kx-4,4.072212e+00,1.356600e-02,2.677162e-01,-1.422258e-02,-1.083009e-03,-3.003962e-04,1.297964e-03,9.994110e-01,40,9.993373e-01,5.696412e-03
sample11-195rpm-60kx-6,4.105199e+00,1.823930e-02,2.556873e-01,-1.515254e-02,-1.061579e-03,-3.287735e-04,1.658146e-03,9.992767e-01,40,9.991863e-01,6.438451e-03
sample11-195rpm-60kx-7,4.090977e+00,1.006708e-02,2.837650e-01,-1.324777e-02,-8.092805e-04,-3.129986e-04,1.969980e-03,9.991234e-01,40,9.990138e-01,7.017800e-03
sample11-195rpm-60kx-8,4.301036e+00,1.120801e-02,2.834839e-01,-1.456587e-02,-9.311808e-04,-3.470464e-04,1.374300e-03,9.995059e-01,40,9.994442e-01,5.861527e-03
sample11-20rpm-60kx-10,4.078728e+00,1.904417e-02,2.530317e-01,-1.509872e-02,-1.078695e-03,-3.257240e-04,1.943899e-03,9.991282e-01,40,9.990192e-01,6.971190e-03
sample11-20rpm-60kx-12,4.101103e+00,1.576257e-02,2.652132e-01,-1.428280e-02,-8.325531e-04,-3.450278e-04,2.832939e-03,9.987554e-01,40,9.985998e-01,8.415668e-03
sample11-20rpm-60kx-13,4.072436e+00,1.407833e-02,2.659423e-01,-1.412707e-02,-1.022217e-03,-3.079360e-04,1.709517e-03,9.992246e-01,40,9.991277e-01,6.537425e-03
sample11-20rpm-60kx-19,4.139535e+00,1.607427e-02,2.652643e-01,-1.452130e-02,-8.376551e-04,-3.519335e-04,2.727029e-03,9.988390e-01,40,9.986939e-01,8.256860e-03
sample11-20rpm-60kx-20,4.071064e+00,1.537061e-02,2.652030e-01,-1.396816e-02,-8.435286e-04,-3.360588e-04,3.250116e-03,9.985200e-01,40,9.983350e-01,9.014039e-03
sample11-20rpm-60kx-21,4.065273e+00,1.666029e-02,2.604451e-01,-1.430144e-02,-9.488133e-04,-3.296538e-04,2.885952e-03,9.986800e-01,40,9.985150e-01,8.494046e-03
sample11-20rpm-60kx-22,4.080859e+00,1.518682e-02,2.659484e-01,-1.398072e-02,-8.457614e-04,-3.367372e-04,3.239231e-03,9.985390e-01,40,9.983564e-01,8.998931e-03
sample11-20rpm-60kx-23,4.104900e+00,1.280531e-02,2.739859e-01,-1.364404e-02,-8.035801e-04,-3.314792e-04,2.781589e-03,9.987661e-01,40,9.986118e-01,8.339048e-03
sample11-20rpm-60kx-26,4.090248e+00,1.239002e-02,2.752072e-01,-1.350849e-02,-8.018228e-04,-3.282268e-04,2.788555e-03,9.987535e-01,40,9.985977e-01,8.349483e-03
sample11-20rpm-60kx-27,4.122401e+00,1.326557e-02,2.731106e-01,-1.388839e-02,-8.021571e-04,-3.385457e-04,2.591196e-03,9.988818e-01,40,9.987420e-01,8.048596e-03
sample11-20rpm-60kx-29,4.059808e+00,2.221158e-02,2.458276e-01,-1.559846e-02,-1.143032e-03,-3.284186e-04,2.177469e-03,9.990065e-01,40,9.988823e-01,7.378124e-03
